code,name,descr,lang_code,is_active,cr_by,cr_dtimes
DOC003,بطاقة الصورة التموينية أو الحصة الخاصة,بطاقة الصورة التموينية أو الحصة الخاصة,ara,TRUE,superadmin,now()
DOC004,بطاقة هويه الناخب,بطاقة هويه الناخب,ara,TRUE,superadmin,now()
DOC005,رخصه القيادة لمقدم الطلب,رخصه القيادة لمقدم الطلب,ara,TRUE,superadmin,now()
DOC006,بطاقات هويه مصوره صادره عن الحكومة,بطاقات هويه مصوره صادره عن الحكومة,ara,TRUE,superadmin,now()
DOC007,خدمه بطاقات هويه الصورة التي يتم إصدارها من قبل الأمير سلطان,خدمه بطاقات هويه الصورة التي يتم إصدارها من قبل الأمير سلطان,ara,TRUE,superadmin,now()
DOC008,ترخيص الاسلحه,ترخيص الاسلحه,ara,TRUE,superadmin,now()
DOC009,بطاقة الصراف الألى من بنك الصور,بطاقة الصراف الألى من بنك الصور,ara,TRUE,superadmin,now()
DOC010,بطاقة الصور الائتمانية,بطاقة الصور الائتمانية,ara,TRUE,superadmin,now()
DOC011,صوره بطاقة من الحرية مقاتله,صوره بطاقة من الحرية مقاتله,ara,TRUE,superadmin,now()
DOC012,شهادة الزواج,شهادة الزواج,ara,TRUE,superadmin,now()
DOC013,دفتر أو كشف حساب بنكي,دفتر أو كشف حساب بنكي,ara,TRUE,superadmin,now()
DOC014,كشف حساب أو دفتر بيانات مكتب البريد,كشف حساب أو دفتر بيانات مكتب البريد,ara,TRUE,superadmin,now()
DOC015,البطاقة التموينية,البطاقة التموينية,ara,TRUE,superadmin,now()
DOC016,أصدرت الهيئة بطاقة هويه صوره الخدمة مع عنوان,أصدرت الهيئة بطاقة هويه صوره الخدمة مع عنوان,ara,TRUE,superadmin,now()
DOC017,فاتورة كهرباء لمده 3 أشهر سابقه,فاتورة كهرباء لمده 3 أشهر سابقه,ara,TRUE,superadmin,now()
DOC018,فاتورة المياه طالما انها ليست أكثر من 3 أشهر من العمر,فاتورة المياه طالما انها ليست أكثر من 3 أشهر من العمر,ara,TRUE,superadmin,now()
DOC024,بطاقة الهوية الخاصة,بطاقة الهوية الخاصة,ara,TRUE,superadmin,now()
DOC025,البطاقة الطبية الصادرة عن حكومة الولاية و CGHS و ECHS و ESIC,البطاقة الطبية الصادرة عن حكومة الولاية و CGHS و ECHS و ESIC أيضا,ara,TRUE,superadmin,now()
DOC026,بطاقة المقصف للجيش,بطاقة المقصف للجيش,ara,TRUE,superadmin,now()
DOC027,وثيقة استحقاق الأسرة,اي وثيقة استحقاق عائلي صادره عن اي حكومة مركزيه أو حكوميه,ara,TRUE,superadmin,now()
DOC028,شهادة الميلاد,مسجل الميلاد/مؤسسه البلدية أو اي شهادة ميلاد حكوميه محليه,ara,TRUE,superadmin,now()
DOC002,Carte PAN,Carte PAN,fra,TRUE,superadmin,now()
DOC003,Soit ration ou PDS photo carte,Soit ration ou PDS photo carte,fra,TRUE,superadmin,now()
DOC004,Carte d’identification des électeurs,Carte d’identification des électeurs,fra,TRUE,superadmin,now()
DOC005,Permis de conduire du demandeur,Permis de conduire du demandeur,fra,TRUE,superadmin,now()
DOC006,Cartes d’identité photo émises par le gouvernement,Cartes d’identité photo émises par le gouvernement,fra,TRUE,superadmin,now()
DOC007,Cartes d’identité de service de photo émises par un PSU,Cartes d’identité de service de photo émises par un PSU,fra,TRUE,superadmin,now()
DOC008,Licence d’armes,Licence d’armes,fra,TRUE,superadmin,now()
DOC009,Photo banque carte bancaire,Photo banque carte bancaire,fra,TRUE,superadmin,now()
DOC010,Carte de crédit photo,Carte de crédit photo,fra,TRUE,superadmin,now()
DOC011,Carte photo du Freedom Fighter,Carte photo du Freedom Fighter,fra,TRUE,superadmin,now()
DOC012,Certificat de mariage,Certificat de mariage,fra,TRUE,superadmin,now()
DOC013,Livret ou relevé bancaire,Livret ou relevé bancaire,fra,TRUE,superadmin,now()
DOC014,Relevé de compte ou livret du Bureau de poste,Relevé de compte ou livret du Bureau de poste,fra,TRUE,superadmin,now()
DOC015,Carte de ration,Carte de ration,fra,TRUE,superadmin,now()
DOC016,PSU a émis la carte didentité de photo de service avec ladresse,PSU a émis la carte d’identité de photo de service avec l’adresse,fra,TRUE,superadmin,now()
DOC017,Facture d’électricité précédente de 3 mois,Facture d’électricité précédente de 3 mois,fra,TRUE,superadmin,now()
DOC018,Facture d’eau tant qu’elle n’a pas plus de 3 mois,Facture d’eau tant qu’elle n’a pas plus de 3 mois,fra,TRUE,superadmin,now()
DOC024,Carte PDS,Carte PDS,fra,TRUE,superadmin,now()
DOC025,Carte médicale délivrée par le govt de l'État,"Carte médicale délivrée par le gouvernement de l’État, le CGHS, l’ECHS et également l’ESIC",fra,TRUE,superadmin,now()
DOC026,Carte de cantine de l’armée,Carte de cantine de l’armée,fra,TRUE,superadmin,now()
DOC027,Titre de droit familial,Tout document de droit de la famille délivré par un gouvernement central ou,fra,TRUE,superadmin,now()
DOC028,Certificat de naissance,Registraire de naissance/municipalité ou tout acte de naissance du gouvernement local,fra,TRUE,superadmin,now()
EOP,Expetion Photo,Expetion Photo,eng,TRUE,superadmin,now()
EOP,Photo d exception,Photo d exception,fra,TRUE,superadmin,now()
EOP,صور الاستثناء,صور الاستثناء,ara,TRUE,superadmin,now()
CIN,संदर्भ पहचान पत्र,संदर्भ पहचान पत्र,hin,TRUE,superadmin,now()
RNC,भाड़े का अनुबंध,पता की रेंटल एग्रीमेंट,hin,TRUE,superadmin,now()
COR,निवास का प्रमाण पत्र,निवासी का प्रमाण,hin,TRUE,superadmin,now()
DOC001,पासपोर्ट,Idendity का प्रमाण,hin,TRUE,superadmin,now()
CRN,रिश्ता का प्रमाण पत्र,एक व्यक्ति का प्रमाण संबंध,hin,TRUE,superadmin,now()
COB,जन्म का प्रमाण पत्र,सबूत जन्म और एक व्यक्ति की उम्र,hin,TRUE,superadmin,now()
COE,अपवाद के प्रमाणन,अपवाद का प्रमाण पत्र,hin,TRUE,superadmin,now()
DOC002,पैन कार्ड,पैन कार्ड,hin,TRUE,superadmin,now()
DOC003,या तो राशन या सार्वजनिक वितरण प्रणाली फोटो कार्ड,या तो राशन या सार्वजनिक वितरण प्रणाली फोटो कार्ड,hin,TRUE,superadmin,now()
DOC004,मतदाता पहचान कार्ड,मतदाता पहचान कार्ड,hin,TRUE,superadmin,now()
DOC005,आवेदक का ड्राइविंग लाइसेंस,आवेदक का ड्राइविंग लाइसेंस,hin,TRUE,superadmin,now()
DOC006,फोटो पहचान-पत्र सरकार द्वारा जारी,फोटो पहचान-पत्र सरकार द्वारा जारी,hin,TRUE,superadmin,now()
DOC007,सेवा फोटो पहचान पत्र कार्ड है कि एक सार्वजनिक उपक्रमों द्वारा जारी किया जाता है,सेवा फोटो पहचान पत्र कार्ड है कि एक सार्वजनिक उपक्रमों द्वारा जारी किया जाता है,hin,TRUE,superadmin,now()
DOC008,शस्त्र का लाइसेंस,शस्त्र का लाइसेंस,hin,TRUE,superadmin,now()
DOC009,फोटो बैंक एटीएम कार्ड,फोटो बैंक एटीएम कार्ड,hin,TRUE,superadmin,now()
DOC010,फोटो क्रेडिट कार्ड,फोटो क्रेडिट कार्ड,hin,TRUE,superadmin,now()
DOC011,स्वतंत्रता सेनानी की फोटो कार्ड,स्वतंत्रता सेनानी की फोटो कार्ड,hin,TRUE,superadmin,now()
DOC012,शादी का प्रमाण पत्र,शादी का प्रमाण पत्र,hin,TRUE,superadmin,now()
DOC013,पासबुक या बैंक स्टेटमेंट,पासबुक या बैंक स्टेटमेंट,hin,TRUE,superadmin,now()
DOC014,खाता बयान या डाकघर की पासबुक,खाता बयान या डाकघर की पासबुक,hin,TRUE,superadmin,now()
DOC015,राशन पत्रिका,राशन पत्रिका,hin,TRUE,superadmin,now()
DOC016,पीएसयू जारी सेवा पते के साथ फोटो पहचान पत्र,पीएसयू जारी सेवा पते के साथ फोटो पहचान पत्र,hin,TRUE,superadmin,now()
DOC017,पिछला 3 महीने 'बिजली का बिल,पिछला 3 महीने 'बिजली का बिल,hin,TRUE,superadmin,now()
DOC018,पानी बिल जब तक कि यह महीने की अधिक से अधिक 3 वर्ष के रूप में,पानी बिल जब तक कि यह महीने की अधिक से अधिक 3 वर्ष के रूप में,hin,TRUE,superadmin,now()
DOC024,सार्वजनिक वितरण प्रणाली कार्ड,सार्वजनिक वितरण प्रणाली कार्ड,hin,TRUE,superadmin,now()
DOC025,"राज्य सरकार, सीजीएचएस, ईसीएचएस और ईएसआईसी द्वारा जारी किए गए मेडिकल कार्ड","राज्य सरकार, सीजीएचएस, ईसीएचएस और भी ईएसआईसी द्वारा जारी किए गए मेडिकल कार्ड",hin,TRUE,superadmin,now()
DOC026,सेना की कैंटीन कार्ड,सेना की कैंटीन कार्ड,hin,TRUE,superadmin,now()
DOC027,परिवार पात्रता दस्तावेज़,किसी भी परिवार पात्रता दस्तावेज़ किसी भी केंद्र या राज्य सरकार द्वारा जारी किए गए,hin,TRUE,superadmin,now()
DOC028,जन्म प्रमाणपत्र,जन्म / नगर निगम या किसी स्थानीय सरकार जन्म प्रमाणपत्र के रजिस्ट्रार,hin,TRUE,superadmin,now()
EOP,Expetion फोटो,Expetion फोटो,hin,TRUE,superadmin,now()
CIN,குறிப்பு அடையாள அட்டை,குறிப்பு அடையாள அட்டை,tam,TRUE,superadmin,now()
RNC,வாடகை ஒப்பந்த,முகவரி வாடகை ஒப்பந்தம்,tam,TRUE,superadmin,now()
COR,வசிக்கும் சான்றிதழ்,குடியுரிமை சான்று,tam,TRUE,superadmin,now()
DOC001,கடவுச்சீட்டு,Idendity சான்று,tam,TRUE,superadmin,now()
CRN,உறவு சான்றிதழ்,ஒரு நபர் சான்று உறவு,tam,TRUE,superadmin,now()
COB,பிறப்பு சான்றிதழ்,சான்று பிறப்பு மற்றும் ஒரு நபரின் வயது,tam,TRUE,superadmin,now()
COE,விதிவிலக்கு சான்றிதழ்,விதிவிலக்கு சான்றிதழ்,tam,TRUE,superadmin,now()
DOC002,நிரந்தர கணக்கு எண் அட்டை,நிரந்தர கணக்கு எண் அட்டை,tam,TRUE,superadmin,now()
DOC003,ஒன்று ரேஷன் அல்லது PDS புகைப்பட அட்டை,ஒன்று ரேஷன் அல்லது PDS புகைப்பட அட்டை,tam,TRUE,superadmin,now()
DOC004,வாக்காளர் அடையாள அட்டை,வாக்காளர் அடையாள அட்டை,tam,TRUE,superadmin,now()
DOC005,விண்ணப்பதாரரின் டிரைவிங் உரிமம்,விண்ணப்பதாரரின் டிரைவிங் உரிமம்,tam,TRUE,superadmin,now()
DOC006,அரசு வழங்கிய புகைப்பட அடையாள அட்டைகள்,அரசு வழங்கிய புகைப்பட அடையாள அட்டைகள்,tam,TRUE,superadmin,now()
DOC007,ஒரு பொதுத்துறை வழங்குனரால் வழங்கப்பட்ட சேவை புகைப்படம் அடையாள அட்டைகள்,ஒரு பொதுத்துறை வழங்குனரால் வழங்கப்பட்ட சேவை புகைப்படம் அடையாள அட்டைகள்,tam,TRUE,superadmin,now()
DOC008,ஆயுத உரிமத்தை,ஆயுத உரிமத்தை,tam,TRUE,superadmin,now()
DOC009,புகைப்பட வங்கி ஏடிஎம் அட்டை,புகைப்பட வங்கி ஏடிஎம் அட்டை,tam,TRUE,superadmin,now()
DOC010,புகைப்பட கடன் அட்டை,புகைப்பட கடன் அட்டை,tam,TRUE,superadmin,now()
DOC011,சுதந்திர போராட்ட வீரர் புகைப்பட அட்டை,சுதந்திர போராட்ட வீரர் புகைப்பட அட்டை,tam,TRUE,superadmin,now()
DOC012,திருமண சான்றிதழ்,திருமண சான்றிதழ்,tam,TRUE,superadmin,now()
DOC013,பாஸ்புக்கில் அல்லது வங்கி அறிக்கை,பாஸ்புக்கில் அல்லது வங்கி அறிக்கை,tam,TRUE,superadmin,now()
DOC014,கணக்கு அறிக்கை அல்லது அஞ்சலகத்திற்கானது கணக்குப் புத்தகம்,கணக்கு அறிக்கை அல்லது அஞ்சலகத்திற்கானது கணக்குப் புத்தகம்,tam,TRUE,superadmin,now()
DOC015,ரேஷன் அட்டை,ரேஷன் அட்டை,tam,TRUE,superadmin,now()
DOC016,முகவரியுடன் பொதுத்துறை வெளியிட்டது சேவை புகைப்படம் அடையாள அட்டை,முகவரியுடன் பொதுத்துறை வெளியிட்டது சேவை புகைப்படம் அடையாள அட்டை,tam,TRUE,superadmin,now()
DOC017,முந்தைய 3 மாதங்கள் 'மின்சார கட்டணத்தை,முந்தைய 3 மாதங்கள் 'மின்சார கட்டணத்தை,tam,TRUE,superadmin,now()
DOC018,நீண்ட ஒரு சில மாதங்கள் மட்டுமே 'இல்லை மேலும் 3 விட பழமையானது நீரின் மசோதா,நீண்ட ஒரு சில மாதங்கள் மட்டுமே 'இல்லை மேலும் 3 விட பழமையானது நீரின் மசோதா,tam,TRUE,superadmin,now()
DOC024,ஜனநாயக சோசலிச அட்டை,ஜனநாயக சோசலிச அட்டை,tam,TRUE,superadmin,now()
DOC025,"மாநில அரசு, CGHS, ECHS மற்றும் ESIC வழங்கப்பட்ட மருத்துவ அட்டை","மாநில அரசு, CGHS, ECHS மேலும் ESIC வழங்கப்பட்ட மருத்துவ அட்டை",tam,TRUE,superadmin,now()
DOC026,இராணுவத்தின் உணவகத்தில் அட்டை,இராணுவத்தின் உணவகத்தில் அட்டை,tam,TRUE,superadmin,now()
DOC027,குடும்ப உரிமத்தை ஆவணம்,எந்த குடும்ப உரிமத்தை ஆவணத்தில் மத்திய அல்லது மாநில அரசு வழங்கப்பட்ட,tam,TRUE,superadmin,now()
DOC028,பிறப்பு சான்றிதழ்,பிறப்பு / நகராட்சி கார்ப்பரேஷன் அல்லது எந்த உள்ளூர் அரசாங்க பிறப்பு சான்றிதழ் பதிவாளர்,tam,TRUE,superadmin,now()
EOP,Expetion புகைப்பட,Expetion புகைப்பட,tam,TRUE,superadmin,now()
CIN,ರೆಫರೆನ್ಸ್ ಐಡೆಂಟಿಟಿ ಕಾರ್ಡ್,ರೆಫರೆನ್ಸ್ ಐಡೆಂಟಿಟಿ ಕಾರ್ಡ್,kan,TRUE,superadmin,now()
RNC,ಗೇಣಿ ಒಪ್ಪಂದವನ್ನು,ವಿಳಾಸ ಬಾಡಿಗೆ ಒಪ್ಪಂದ,kan,TRUE,superadmin,now()
COR,ನಿವಾಸದ ಪ್ರಮಾಣಪತ್ರ,ನಿವಾಸ ಪುರಾವೆ,kan,TRUE,superadmin,now()
DOC001,ಪಾಸ್ಪೋರ್ಟ್,Idendity ಪುರಾವೆ,kan,TRUE,superadmin,now()
CRN,ಸಂಬಂಧ ಪ್ರಮಾಣ ಪತ್ರ,ವ್ಯಕ್ತಿಯ ಪುರಾವೆ ಸಂಬಂಧವನ್ನು,kan,TRUE,superadmin,now()
COB,ಜನ್ಮ ಪ್ರಮಾಣಪತ್ರ,ಪ್ರೂಫ್ ಜನನ ಮತ್ತು ವ್ಯಕ್ತಿಯ ವಯಸ್ಸಿನ,kan,TRUE,superadmin,now()
COE,ಎಕ್ಸೆಪ್ಶನ್ ಧೃಡೀಕರಣ,ಎಕ್ಸೆಪ್ಶನ್ ಪ್ರಮಾಣಪತ್ರ,kan,TRUE,superadmin,now()
DOC002,ಪ್ಯಾನ್ ಕಾರ್ಡ್,ಪ್ಯಾನ್ ಕಾರ್ಡ್,kan,TRUE,superadmin,now()
DOC003,ಒಂದೋ ಪಡಿತರ ಅಥವಾ ಪಿಡಿಎಸ್ ಫೋಟೋ ಕಾರ್ಡ್,ಒಂದೋ ಪಡಿತರ ಅಥವಾ ಪಿಡಿಎಸ್ ಫೋಟೋ ಕಾರ್ಡ್,kan,TRUE,superadmin,now()
DOC004,ಮತದಾರರ ಗುರುತಿನ ಕಾರ್ಡ್,ಮತದಾರರ ಗುರುತಿನ ಕಾರ್ಡ್,kan,TRUE,superadmin,now()
DOC005,ಅರ್ಜಿದಾರರ ಪರವಾನಗಿ ಚಾಲಕ,ಅರ್ಜಿದಾರರ ಪರವಾನಗಿ ಚಾಲಕ,kan,TRUE,superadmin,now()
DOC006,ಸರ್ಕಾರ ಹೊರಡಿಸಿದ ಫೋಟೋ ಗುರುತಿನ ಕಾರ್ಡ್,ಸರ್ಕಾರ ಹೊರಡಿಸಿದ ಫೋಟೋ ಗುರುತಿನ ಕಾರ್ಡ್,kan,TRUE,superadmin,now()
DOC007,ಒಂದು ಪಿಎಸ್ಯು ನೀಡಲಾದ ಸೇವೆ ಫೋಟೋ ಗುರುತಿನ ಚೀಟಿ,ಒಂದು ಪಿಎಸ್ಯು ನೀಡಲಾದ ಸೇವೆ ಫೋಟೋ ಗುರುತಿನ ಚೀಟಿ,kan,TRUE,superadmin,now()
DOC008,ಆರ್ಮ್ಸ್ ಪರವಾನಗಿ,ಆರ್ಮ್ಸ್ ಪರವಾನಗಿ,kan,TRUE,superadmin,now()
DOC009,ಫೋಟೋ ಬ್ಯಾಂಕ್ ಎಟಿಎಂ ಕಾರ್ಡ್,ಫೋಟೋ ಬ್ಯಾಂಕ್ ಎಟಿಎಂ ಕಾರ್ಡ್,kan,TRUE,superadmin,now()
DOC010,ಫೋಟೋ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್,ಫೋಟೋ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್,kan,TRUE,superadmin,now()
DOC011,ಸ್ವಾತಂತ್ರ್ಯ ಹೋರಾಟಗಾರ ಛಾಯಾಚಿತ್ರ ಕಾರ್ಡ್,ಸ್ವಾತಂತ್ರ್ಯ ಹೋರಾಟಗಾರ ಛಾಯಾಚಿತ್ರ ಕಾರ್ಡ್,kan,TRUE,superadmin,now()
DOC012,ಮದುವೆ ಪ್ರಮಾಣ ಪತ್ರ,ಮದುವೆ ಪ್ರಮಾಣ ಪತ್ರ,kan,TRUE,superadmin,now()
DOC013,ಪಾಸ್ ಬುಕ್ ಅಥವಾ ಬ್ಯಾಂಕ್ ಹೇಳಿಕೆ,ಪಾಸ್ ಬುಕ್ ಅಥವಾ ಬ್ಯಾಂಕ್ ಹೇಳಿಕೆ,kan,TRUE,superadmin,now()
DOC014,ಖಾತೆ ಹೇಳಿಕೆ ಅಥವಾ ಕಛೇರಿಯ ಪಾಸ್ ಬುಕ್,ಖಾತೆ ಹೇಳಿಕೆ ಅಥವಾ ಕಛೇರಿಯ ಪಾಸ್ ಬುಕ್,kan,TRUE,superadmin,now()
DOC015,ಪಡಿತರ ಕಾರ್ಡ್,ಪಡಿತರ ಕಾರ್ಡ್,kan,TRUE,superadmin,now()
DOC016,ಪಿಎಸ್ಯು ಬಿಡುಗಡೆ ಸೇವೆ ವಿಳಾಸದೊಂದಿಗೆ ಫೋಟೋ ಐಡಿ ಕಾರ್ಡ್,ಪಿಎಸ್ಯು ಬಿಡುಗಡೆ ಸೇವೆ ವಿಳಾಸದೊಂದಿಗೆ ಫೋಟೋ ಐಡಿ ಕಾರ್ಡ್,kan,TRUE,superadmin,now()
DOC017,ಹಿಂದಿನ 3 ತಿಂಗಳ ವಿದ್ಯುತ್ ಬಿಲ್,ಹಿಂದಿನ 3 ತಿಂಗಳ ವಿದ್ಯುತ್ ಬಿಲ್,kan,TRUE,superadmin,now()
DOC018,ಮಾಹಿತಿ ಸಮಯ 3 ಹೆಚ್ಚು ತಿಂಗಳ ವಯಸ್ಸಾದವರಾದ್ದರಿಂದ ವಾಟರ್ ಬಿಲ್,ಮಾಹಿತಿ ಸಮಯ 3 ಹೆಚ್ಚು ತಿಂಗಳ ವಯಸ್ಸಾದವರಾದ್ದರಿಂದ ವಾಟರ್ ಬಿಲ್,kan,TRUE,superadmin,now()
DOC024,ಪಿಡಿಎಸ್ ಕಾರ್ಡ್,ಪಿಡಿಎಸ್ ಕಾರ್ಡ್,kan,TRUE,superadmin,now()
DOC025,"ರಾಜ್ಯ ಸರ್ಕಾರವು, CGHS, ECHS ಮತ್ತು, ESIC ಹೊರಡಿಸಿದ ವೈದ್ಯಕೀಯ ಕಾರ್ಡ್","ರಾಜ್ಯ ಸರ್ಕಾರ, CGHS, ECHS ಮತ್ತು, ESIC ಹೊರಡಿಸಿದ ವೈದ್ಯಕೀಯ ಕಾರ್ಡ್",kan,TRUE,superadmin,now()
DOC026,ಸೇನೆಯ ಕ್ಯಾಂಟೀನ್ ಕಾರ್ಡ್,ಸೇನೆಯ ಕ್ಯಾಂಟೀನ್ ಕಾರ್ಡ್,kan,TRUE,superadmin,now()
DOC027,ಕುಟುಂಬ ಅರ್ಹತೆಗಿಂತ ಡಾಕ್ಯುಮೆಂಟ್,ಯಾವುದೇ ಕುಟುಂಬದ ಅರ್ಹತೆಗಿಂತ ಡಾಕ್ಯುಮೆಂಟ್ ಯಾವುದೇ ಕೇಂದ್ರ ಅಥವಾ ರಾಜ್ಯ ಸರ್ಕಾರ ಹೊರಡಿಸಿದ,kan,TRUE,superadmin,now()
DOC028,ಜನನ ಪ್ರಮಾಣಪತ್ರ,ಜನನ / ಪುರಸಭೆಯ ನಿಗಮ ಅಥವಾ ಯಾವುದೇ ಸ್ಥಳೀಯ ಸರ್ಕಾರದ ಜನನ ಪ್ರಮಾಣಪತ್ರ ರಿಜಿಸ್ಟ್ರಾರ್,kan,TRUE,superadmin,now()
EOP,Expetion ಫೋಟೋ,Expetion ಫೋಟೋ,kan,TRUE,superadmin,now()
